Name
. Olio e Più
. Piccola Cucina Osteria
. Gelso & Grand
. Botte Brooklyn
. Lillo Cucina Italiana
. Lil Frankie’s
. Osteria Brooklyn
. La Lanterna Di Vittorio
. Giano Restaurant
. Risotteria Melotti NYC
. Aurora
. Supper
. Paesano of Mulberry Street
. Rubirosa
. L’Artusi
. Olio e Più
. Piccola Cucina Osteria
. Gelso & Grand
. Botte Brooklyn
. Lillo Cucina Italiana
. Osteria Brooklyn
. Giano Restaurant
. L’Artusi
. Paesano of Mulberry Street
. Rubirosa
